"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"198059","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"985239","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"840914","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"174924","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"180898","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"531539","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"369555","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"174846","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"206887","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]",NA
"366237","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"360717","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"195175","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"296007","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"197992","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"197490","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"196270","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"588471","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","muciniphila"
"187324","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","caccae"
"193865","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"180446","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"306480","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"193946","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"583656","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"197282","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"355510","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"2037235","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"276364","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"197970","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"213885","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"178640","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"197725","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"186624","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"366716","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"311370","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"192079","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"566213","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Epulopiscium",NA
"181644","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"331881","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"194513","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"531582","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"1092725","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia","dentocariosa"
"591285","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","longum"
"189235","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"186143","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"363625","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus"
"592925","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"316761","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","eggerthii"
"4448492","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"554303","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"198830","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"199283","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"195512","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"194626","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"275061","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"2996838","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"337246","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta"
"358265","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"179649","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"216290","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"189920","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"183385","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"328544","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"199054","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"330714","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"365372","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"364736","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"187572","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"367150","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"540862","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"365574","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"192326","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta"
"194497","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"688701","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"180702","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"523934","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"311587","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"456774","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"587822","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","muciniphila"
"195200","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"350297","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"1503693","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"190502","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"370075","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]",NA,NA
"188574","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"360808","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"327050","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"350091","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"322715","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","eggerthii"
"199421","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"296052","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"199543","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"548587","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","dolichum"
"432284","Bacteria","Cyanobacteria","Chloroplast","Streptophyta",NA,NA,NA
"318760","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"181836","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"370357","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"232900","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae",NA,NA
"175545","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"338987","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"190332","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"370217","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"198127","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"545061","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"194087","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"363794","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","aerofaciens"
"194089","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"409732","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","obeum"
"305288","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"193466","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"4337970","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Barnesiellaceae]",NA,NA
"180110","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","muciniphila"
"370287","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"185861","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"314996","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"185988","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",NA
"1076969","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"1146771","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella",NA
"849361","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Eggerthella","lenta"
"198521","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"168260","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","obeum"
"843442","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"327730","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"110192","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"189530","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]",NA
"174818","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"190154","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"196286","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",NA
"205615","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"4473664","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus","anaerobius"
"296137","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"193755","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"514988","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","SMB53",NA
"185486","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"593043","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","muciniphila"
"190990","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"368698","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"195143","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"197807","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"175497","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"2985051","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae",NA,NA
"346302","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"185203","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"365628","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Phascolarctobacterium",NA
"555945","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","SMB53",NA
"428457","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"184036","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"178016","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]",NA
"178517","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"850586","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Odoribacter",NA
"566243","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"213813","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"533969","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"589329","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"368490","Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae","Turicibacter",NA
"640999","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"178213","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","ruminis"
"4315958","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"177042","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"306704","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"178607","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"1108679","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"360158","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"309795","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"337379","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"176104","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"186969","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"529940","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"184795","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"359809","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"341777","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"192619","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"899714","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","muciniphila"
"517754","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"369486","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"186687","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"174588","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"315978","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"518389","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"367456","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"367453","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"514773","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","biforme"
"311961","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus",NA
"329073","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"197552","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"185186","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","muciniphila"
"294219","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"361966","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"370098","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"197364","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"197367","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"577294","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","distasonis"
"354908","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",NA,NA
"199344","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"196307","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"187007","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"299938","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"572476","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"187008","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"185821","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","eutactus"
"345118","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"180754","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"346657","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"198185","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"923098","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"180171","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"363731","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","muciniphila"
"752354","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"196731","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"363735","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"551902","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"172233","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"197524","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"180881","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"180285","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"197649","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"192221","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"184833","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"193364","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",NA
"589277","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"578016","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","distasonis"
"580629","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"535375","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus"
"198119","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"195061","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Adlercreutzia",NA
"198117","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"193951","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"198502","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"176327","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"357582","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"525966","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"364341","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"363127","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"300855","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"181254","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"178387","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"186652","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","formicigenerans"
"190100","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"347690","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"216599","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"192767","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"187706","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"359111","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]",NA
"186092","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"191974","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"185001","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"369822","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"593422","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"366794","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"528753","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Phascolarctobacterium",NA
"295485","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"196742","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"198282","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"54794","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"198362","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"352852","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"179402","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"849110","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"336375","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"196513","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"548233","Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae",NA,NA
"348863","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"199047","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"575407","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","muciniphila"
"530676","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus",NA
"192711","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"319621","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"193668","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"186992","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"191216","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"307661","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"581003","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"4407747","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"195805","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"212686","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"344823","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"1109247","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"356760","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae",NA,NA
"196831","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"361186","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"176108","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"192868","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"188997","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"195759","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"192542","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"318970","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
